Deputado,Fala
Luiz Nishimori,"['Sou', 'Deputado', 'municipalista', 'agronegócio', 'Portanto', 'nome', 'Paraná', 'desenvolvimento', 'progresso']"
Marcelo Belinati,"['Presidente', 'Deputados', 'povo', 'brasileiro', 'defendo', 'eleições', 'gerais', 'renovação', 'política', 'De', 'preferência', 'população', 'mande', 'volta', 'casa', 'todas', 'exceção', 'velhas', 'raposas', 'aí', 'Voto', 'impeachment']"
Nelson Meurer,"['Presidente', 'família', 'querido', 'Município', 'Francisco', 'Beltrão', 'querido', 'sudoeste', 'Paraná', 'eleitores', 'Estado']"
Nelson Padovani,"['Presidente', 'Estado', 'Paraná']"
Osmar Serraglio,"['Presidente', 'País', 'sério', 'todos', 'sonhamos', 'queremos', 'País', 'mensalão', 'petrolão', 'queremos', 'querido', 'Paraná', 'Sérgio', 'Moro', 'querida', 'Umuarama']"
Paulo Martins,"['Presidente', 'nome', 'Deputados', 'Edmar', 'Arruda', 'Valdir', 'Rossoni', 'povo', 'ruas', 'verde', 'amarelo', 'livre', 'PT', 'Paraná', 'República', 'Curitiba']"
Ricardo Barros,"['Presidente', 'unidade', 'Partido', 'Progressista', 'fechou', 'questão', 'relação', 'impeachment', 'progressistas', 'família', 'Maria', 'Victoria', 'Cida', 'Borghetti', 'Silvio', 'Barros', 'paranaenses', 'represento', 'Maringá']"
Rubens Bueno,"['Presidente', 'primeiro', 'quero', 'fazer', 'homenagem', 'bancada', 'PPS', 'totalidade', 'votando', 'impeachment', 'Dois', 'Parlamentares', 'puderam', 'estar', 'votar', 'suplência', 'Deputado', 'Raul', 'Jungmann', 'Presidente', 'Deputado', 'Roberto', 'Freire', 'São', 'Paulo', 'Então', 'deixo', 'homenagem', 'disse', '1992', 'votando', 'nome', 'povo', 'Campo', 'Mourão', 'acolheu', 'recebeu', 'Repito', 'Campo', 'Mourão', 'acolheu', 'continuo', 'grato', 'Presidente', 'agora', 'compromisso', 'maior', 'fazer', 'Operação', 'Lava-Jato', 'Ministério', 'Público', 'Polícia', 'Federal', 'Juiz', 'Sérgio', 'Moro', 'possam', 'dar', 'contribuição', 'Por', 'Paraná']"
Sandro Alex,"['Em', 'respeito', 'família', 'Constituição', 'brasileira', 'representando', 'cidade', 'Ponta', 'Grossa', 'região', 'Campos', 'Gerais', 'Estado', 'Paraná']"
Sergio Souza,"['Presidente', 'nome', 'partido', 'PMDB', 'cidade', 'Curitiba', 'Paraná', 'nome', 'povo', 'brasileiro']"
Takayama,"['Contra', 'ladroeira', 'contra', 'imposição', 'desse', 'partido', 'esquerda', 'quer', 'transformar', 'ditadura', 'esquerda', '``', '``', 'Pelo', 'impeachment', 'Sérgio', 'Moro', 'evangélicos', 'família']"
Toninho Wandscheer,"['Em', 'memória', 'pai', 'Paulo', 'Wandscheer', 'certeza', 'estaria', 'mandando', 'pediria', 'mandaria', 'votar', 'cidade', 'Fazenda', 'Rio', 'Grande', 'Estado', 'Paraná', 'família', 'querido']"
Zeca Dirceu,"['Meu', 'homenagem', 'jovens', 'década', '60', 'lutaram', 'contra', 'ditadura', 'homenagem', 'jovens', 'muitos', 'meses', 'ruas', 'lutando', 'contra', 'golpe', 'homenagem', 'sindicalistas', 'movimentos', 'sociais', 'todos', 'sabem', 'jogo', 'apenas', 'Governo', 'apenas', 'figura', 'Presidenta', 'Dilma', 'democracia', 'Meu']"
Carlos Marun,"['Presidente', 'porque', 'constitucional', 'porque', 'necessário', '—meu', 'País', 'precisa', 'novo', 'rumo', 'família', 'Mato', 'Grosso', 'Sul', 'Impeachment', 'Viva']"
Dagoberto,"['Em', 'homenagem', 'grande', 'brasileiro', 'Leonel', 'Brizola', 'história', 'luta', 'legalidade', 'democracia', 'liberdade', 'Presidente']"
Elizeu Dionizio,"['Presidente', 'curta', 'estrada', 'política', 'segunda', 'vez', 'deparo', 'situação', 'dessas', 'segunda', 'vez', 'votar', 'contra', 'gestor', 'cometeu', 'improbidade', 'administrativa', 'Como', 'primeira', 'vez', 'Mato', 'Grosso', 'Sul', 'Pela', 'juventude', 'Tchau', 'querida']"
Geraldo Resende,"['Em', 'respeito', 'querido', 'povo', 'Dourados', 'respeito', 'povo', 'Mato', 'Grosso', 'Sul', 'respeito', 'povo', 'brasileiro', 'nome', 'família', 'novo', 'Presidente']"
Madetta,"['Porque', 'País', 'construir', 'causa', 'famílias', 'causa', 'Campo', 'Grande', 'morena', 'linda', 'Mato', 'Grosso', 'Sul']"
Tereza Cristina,"['Pelo', 'Mato', 'Grosso', 'Sul', 'todos', 'ruas', 'pedir', 'momento', 'agricultores', 'família', 'nova', 'esperança']"
Vander Loubet,"['Presidente', 'impeachment', 'crime', 'golpe', 'Presidente', 'Dilma', 'cometeu', 'crime', 'Pela', 'democracia', 'liberdade']"
