Deputado,Fala
Beto Rosado,"['Agradeço', 'todo', 'Partido', 'Progressista', 'entendeu', 'sentimento', 'ruas', 'toda', 'bancada', 'votou', 'majoritariamente', 'fez', 'questão', 'fechar', 'favor', 'impeachment', 'Quero', 'dizer', 'agora', 'oportunidade', 'sonhar', 'oportunidade', 'ter', 'esperança', 'futuro', 'melhor', 'Quero', 'saudar', 'cidade', 'Mossoró', 'todo', 'povo', 'potiguar', 'família', 'pai', 'Betinho', 'Rosado', 'Parlamentar', 'cinco', 'mandatos', 'nesta', 'Casa']"
Fábio Faria,"['Pela', 'união', 'fé', 'instituições', 'retomada', 'crescimento', 'Presidente']"
Felipe Maia,"['Presidente', 'respeito', 'Constituição', 'Federal', 'respeito', 'outras', 'leis', 'ordenamento', 'jurídico', 'País', 'regulamentam', 'ocrime', 'responsabilidade', 'civil', 'povo', 'povo', 'Rio', 'Grande', 'Norte', 'todos', 'ocupam', 'ruas', 'pedir', 'mudanças', 'País', 'famílias', 'desempregadas', 'somam', '10', 'milhões', 'famílias', 'possa', 'Presidente', 'ter', 'luz', 'fim', 'túnel', 'impeachment', 'Presidente', 'Dilma']"
Rafael Motta,"['Presidente', 'caros', 'colegas', 'Deputadas', 'Deputados', 'frustração', 'nação', 'maior', 'peso', 'Parlamentar', 'pode', 'levar', 'consciência', 'Pelos', 'jovens', 'futuras', 'gerações', 'Estado', 'Rio', 'Grande', 'Norte', 'Natal', 'País']"
Rogério Marinho,"['Pela', 'coerência', 'eleitores', 'respeito', 'família', 'pais', 'deixaram', 'legado', 'filhos', 'quero', 'transmitir', 'legado', 'respeito', 'País', 'contra', 'partido', 'aparelhou', 'País', 'utiliza', 'política', 'externa', 'nacional', 'financiar', 'ditaduras', 'bolivarianas', 'sanguinárias', 'recursos', 'País', 'contra', 'utilizam', 'educação', 'doutrinar', 'assediar', 'crianças', 'melhores', 'dias', 'País', 'livre', 'dessa', 'quadrilha', 'entranhou', 'seio', 'todo', 'coração', 'Fora', 'Dilma']"
Walter Alves,"['Presidente', 'esperança', 'dias', 'melhores', 'nome', 'povo', 'Estadodo', 'Rio', 'Grande', 'Norte', 'concedeu', '191', 'mil', 'votos', 'nome', 'povo']"
Zenaide Maia,"['Presidente', 'democracia', 'avanços', 'sociais', 'famílias', 'brasileiras', 'saber', 'Deputado', 'Eduardo', 'Cunha', 'Michel', 'Temer', 'solução', 'País']"
Adelmo Carneiro Leão,"['Votar', 'impeachment', 'possível', 'crime', 'responsabilidade', 'Não', 'havendo', 'crime', 'responsabilidade', 'golpe', 'golpe', 'podemos', 'votar', 'contra', 'golpe', 'contra', 'impeachment', 'favor', 'democracia']"
Aelton Freitas,"['Presidente', 'Deputados', 'quero', 'terminar', 'justificativa', 'ausência', 'Deputada', 'Clarissa', 'Garotinho', 'ter', 'tido', 'autorização', 'médica', 'pôde', 'vir', 'Rio', 'Justifico', 'ausência', 'Deputada', 'Presidente', 'todos', 'considerados', 'inocentes', 'alguém', 'apresente', 'prova', 'crime', 'Presidente', 'Dilma', 'mulher', 'honesta']"
Bilac Pinto,"['Deputados', 'épelo', 'mineiros', 'acima', 'tudo', 'reencontro', 'esperança', 'deste', 'País', 'afastamento', 'Presidente', 'República']"
Bonifácio de Andrada,"['Presidente', 'democracia', 'Minas', 'Gerais', 'busca', 'melhores', 'dias', 'votamos']"
Brunny,"['Presidente', 'votar', 'impeachment', 'fácil', 'Mas', 'nunca', 'corri', 'atrás', 'alguma', 'coisa', 'fácil', 'vida', 'Por', 'contra', 'PR', 'covarde']"
Caio Narcio,"['Por', 'onde', 'pai', 'avô', 'diziam', 'decência', 'honestidade', 'possibilidade', 'obrigação', 'onde', 'brasileiros', 'decência', 'honestidade', 'pausa', 'Minas', 'jovens', 'lá', 'verás', 'filho', 'foge', 'luta']"
Carlos Melles,"['Presidente', 'Deputados', 'hoje', 'favor', 'crianças', 'juventude', 'famílias', 'Paraíso', 'sul', 'Minas', 'Voto', 'favor', 'agricultor', 'café', 'favor', 'mineiros', 'Mas', 'favor', 'Constituição', 'Voto', 'impeachment', 'Presidente', 'Dilma', 'Rousseff']"
Dâmina Pereira,"['Pelo', 'futuro', 'netos', 'cidade', 'Lavras', 'querido', 'povo', 'mineiro', 'retomada', 'crescimento']"
Delegado Edson Moreira,"['Presidente', 'espera', 'cada', 'cumpra', 'dever', 'Almirante', 'Barroso', 'Pela', 'libertação', 'povo', 'brasileiro', 'família', 'saudoso', 'Celso', 'Daniel', 'Minas', 'Gerais', 'São', 'Paulo', 'todo', 'Presidente']"
Diego Andrade,"['Por', 'Minas', 'Gerais', 'filhos', 'Isabel', 'Léo', 'acompanham', 'Belo', 'Horizonte', 'transportadores', 'agricultores', 'querida', 'Três', 'Pontas', 'avô', 'exemplo', 'trabalho', 'Juatuba', 'toda', 'Minas', 'Gerais', 'homem', 'campo', 'transportador', 'profissionais', 'saúde', 'impeachment']"
Dimas Fabiano,"['Hoje', 'dia', 'certo', 'fazer', 'coisa', 'certa', 'maneira', 'certa', 'Pela', 'esposa', 'Juliana', 'filhos', 'Leonardo', 'Lucas', 'Varginha', 'Bocaina', 'Minas', 'Itajubá', 'Minas', 'Gerais']"
Domingos Sávio,"['Pelos', 'valores', 'família', 'homens', 'livres', 'bons', 'costumes', 'respeito', 'povo', 'Divinópolis', 'toda', 'Minas', 'Gerais', 'respeito', 'povo', 'brasileiro', 'suporta', 'desgoverno', 'tanta', 'corrupção', 'respeito', 'Constituição', 'vai', 'haver', 'golpe', 'Vai', 'haver', 'impeachment', 'Meu', 'favor']"
Eduardo Barbosa,"['Presidente', 'longo', 'desses', 'mandatos', 'presenciado', 'incoerência', 'discurso', 'humanista', 'prática', 'inconsequente', 'rasteira', 'mentirosa', 'Por', 'tudo', 'crime', 'responsabilidade', 'cometido', 'honra', 'povo', 'mineiro', 'todos', 'represento']"
Eros Biondini,"['Presidente', 'valores', 'herdei', 'pais', 'procuro', 'repassar', 'filhos', 'gratidão', 'Renovação', 'Carismática', 'Católica', 'Canção', 'Nova', 'demais', 'movimentos', 'ajudaram', 'livrar', 'drogas', 'milhões', 'brasileiros', 'vivem', 'hoje', 'drogas', 'têm', 'ajuda', 'honrar', 'belorizontinos', 'mineiros', 'brasileiros', 'nesta', 'Terra', 'Santa', 'Cruz', 'suplente', 'Euclides', 'Presidente']"
Fábio Ramalho,"['pedi', 'Deus', 'desse', 'sabedoria', 'votar', 'dignidade', 'pedi', 'Deus', 'iluminasse', 'neste', 'momento', 'nome', 'Estado', 'cujo', 'outro', 'nome', 'éliberdade', 'Minas', 'Gerais', 'nome', 'milhares', 'mineiros', 'pediram', 'votar', 'favor', 'impeachment', 'declarar', 'gratidão', 'povo', 'mineiro', 'família', 'mineira', 'sobretudo', 'milhões', 'desempregados', 'deste', 'País', 'Minas', 'Gerais']"
Franklin Lima,"['Deputados', 'Presidente', 'povo', 'brasileiro', 'primeiro', 'lugar', 'quero', 'agradecer', 'Deus', 'oportunidade', 'ser', 'eleito', 'Estado', 'tão', 'amável', 'tão', 'maravilhoso', 'Minas', 'Gerais', 'Neste', 'Estado', 'nasceu', 'pessoa', 'admiro', 'apóstolo', 'Valdemiro', 'Santiago', 'Igreja', 'maravilhosa', 'ajudou', 'neste', 'trabalho', 'Quero', 'agradecer', 'esposa', 'filha', 'vêm', 'dando', 'muita', 'força', 'mãe', 'tia', 'Eurides', 'cuidou', 'mim', 'pequeno', 'tia', 'Geo', 'ensinou', 'educação', 'quero', 'agradecer', 'povo', 'brasileiro', 'dizer', 'neste', 'instante', 'contra', 'corrupção', 'contra', 'roubalheira', 'contra', 'safadeza', 'sempre', 'lutei', 'novas', 'eleições', 'Neste', 'momento', 'brasileiro', 'nova', 'esperança', 'dias', 'melhores', 'prosperidade']"
Gabriel Guimarães,"['Com', 'certeza', 'Presidenta', 'Dilma', 'cometeu', 'nenhum', 'crimes', 'quais', 'denunciada', 'confirmado', 'adiante', 'prosseguimento', 'denúncia', 'responde']"
George Hilton,"['Presidente', 'quero', 'fazer', 'hoje', 'homenagem', 'todos', 'mineiros', 'brasileiros', 'dia', 'lutaram', 'popular', 'Muitos', 'pagaram', 'vidas', 'Casa', 'direito', 'hoje', 'ruas', 'divididas', 'consultar', 'hoje', 'realmente', 'população', 'quer', 'Trabalhei', 'Presidente', 'Dilma', 'sei', 'quanto', 'mulher', 'honrada', 'sei', 'vou', 'passar', 'história', 'manchar', 'mãos', 'biografia', 'querer', 'tirar', 'poder', 'mulher', 'eleita', 'legitimamente', 'mulher', 'honrada', 'Pela', 'democracia']"
Jaime Martins,"['Presidente', 'milhares', 'mineiros', 'confiaram', 'representação', 'nesta', 'Casa', 'mineiros', 'querida', 'Divinópolis', 'mineiros', 'terra', 'natal', 'Nova', 'Serrana', 'Formiga', 'Arcos', 'povo', 'Belo', 'Horizonte', 'expectativa', 'Presidente', 'início', 'pauta', 'ética', 'traga', 'vida', 'pública', 'decência', 'moralidade', 'volta', 'família', 'filhos', 'esposa', 'neta', 'pai', 'hoje', 'ausente', 'sempre', 'presente', 'vida', 'mãe', 'Dona', 'Maria', 'quais', 'ensinaram', 'valores', 'norteiam', 'vida', 'pública', 'irmãos', 'Presidente']"
Jô Moraes,"['Presidente', 'homenagem', 'àqueles', 'deram', 'vida', 'democracia', 'florescesse', 'neste', 'País', 'filhos', 'famílias', 'brasileiras', 'vivam', 'vivi', 'ditadura', 'digo', 'vergonhosa', 'fraude', 'jurídica', 'farsa', 'política', 'Michel', 'Temer', 'Eduardo', 'Cunha', 'Lembro', 'palavras', 'Tancredo', 'Neves', 'primeiro', 'compromisso', 'Minas', 'liberdade', 'luta', 'apenas', 'começou', 'digo', 'fraude']"
Júlio Delgado,"['acho', 'legítimo', 'suspeito', 'presida', 'sessão', 'suspeito', 'irregularidades', 'cometidas', 'nesta', 'Casa', 'quero', 'dizer', 'Cunha', 'hora', 'vai', 'chegar', 'Não', 'golpes', 'vou', 'deixar', 'votar']"
Laudivio Carvalho,"['Presidente', 'chega', 'roubalheira', 'Chega', 'safadeza', 'Chega', 'tanta', 'corrupção', 'Lugar', 'bandido', 'cadeia', 'Palácio', 'Governo', 'Por', 'Presidente', 'porque', 'golpe', 'impeachment', 'Presidente', 'tchau', 'querida']"
Leonardo Monteiro,"['Quero', 'cumprimentar', 'sobretudo', 'vales', 'Minas', 'Gerais', 'Quero', 'dizer', 'reconheço', 'legitimidade', 'nesse', 'processo', 'Nós', 'Presidente', 'Câmara', 'legitimidade', 'conduzir', 'processo', 'crime', 'Se', 'crime', 'golpe', 'Mesmo', 'assim', 'quero', 'saudar', 'todos', 'trabalhadores', 'trabalhadoras', 'campo', 'cidade', 'Quero', 'cumprimentar', 'sobretudo', 'beneficiados', 'educação', 'Lá', 'região', 'Estado', 'Minas', 'Gerais', 'implantamos', 'universidades', 'federais', 'institutos', 'federais', 'escola', 'integral', 'Quero', 'cumprimentar', 'implantação', 'Programa', 'Minha', 'Casa', 'Minha', 'Vida', 'programas', 'importantes', 'Aqui', 'circo', 'armado', 'Isso', 'éuma', 'falseta', 'organizada', 'Presidente', 'Cunha', 'Michel', 'Temer', 'golpear', 'País', 'sobretudo', 'trabalhadores', 'trabalhadoras', 'pobres', 'Por', 'contra', 'golpe', 'Meu', 'contra']"
Leonardo Quintão,"['Presidente', 'tranquilamente', 'Minas', 'Gerais', 'família', 'recuperação', 'Respeitando', 'todos', 'clamando', 'benção', 'Deus', 'País']"
Lincoln Portela,"['Presidente', 'vendo', 'Deputado', 'Maurício', 'Quintella', 'Lessa', 'lado', 'Partido', 'Republicano', 'Brasileiro', 'PRB', 'bancada', 'disse', '22', 'Parlamentares', 'votariam', 'coerentemente', 'admissibilidade', 'denúncia', 'Não', 'julgando', 'Presidenta', 'República', 'honesta', 'Estamos', 'julgando', 'admissibilidade', 'denúncia', 'Senado', 'fará', 'Não', 'golpe', 'porque', 'ato', 'legítimo', 'convalidado', 'Supremo', 'Tribunal', 'Federal', 'então', 'equivocado', 'Presidente', 'admissibilidade']"
Luis Tibé,"['Meu', 'écontra', 'partido', 'favor', 'outro', 'Meu', 'representa', 'vontade', 'povo', 'querida', 'Belo', 'Horizonte', 'Minas', 'Gerais', 'Meu']"
Luiz Fernando Faria,"['Presidente', 'familiares', 'mulher', 'filhos', 'liderados', 'pediram', 'votasse', 'mineiros', 'demais', 'brasileiros']"
Marcelo Álvaro Antônio,"['Presidente', 'filhas', 'Amanda', 'Dias', 'Ana', 'Clara', 'esposa', 'Janaína', 'mãe', 'famílias', 'cada', 'brasileiros', 'quero', 'fazer', 'menção', 'especial', 'região', 'Barreiro', 'querida', 'Belo', 'Horizonte', 'levando', 'consideração', 'legitimidade', 'protestos', 'vozes', 'ruas', 'legalidade', 'processo', 'governabilidade', 'País', 'Presidente', 'Que', 'Deus', 'abençoe', 'Presidente', 'corrigir', 'situação', 'quero', 'mandar', 'abraço', 'mencionei', 'filho', 'Paulo', 'Henrique']"
Marcelo Aro,"['Presidente', 'importante', 'pessoas', 'saibam', 'vim', 'Minas', 'Gerais', 'ninguém', 'vem', 'Minas', 'Gerais', 'toa', 'caminha', 'onde', 'povo', 'mineiro', 'aponta', 'Por', 'Presidente']"
Marcos Montes,"['Por', 'João', 'Marcos', 'Felipe', 'queridos', 'netos', 'esperando', 'melhor', 'Marília', 'mamãe', 'família', 'uberabense', 'Pela', 'Frente', 'Parlamentar', 'Agropecuária', 'representa', 'produção', 'emprego', 'neste', 'País', 'Minas', 'Gerais', 'querida', 'Uberaba', 'região', 'Presidente', 'muita', 'responsabilidade']"
Marcus Pestana,"['Pelas', 'tradições', 'libertárias', 'Minas', 'Tancredo', 'Itamar', 'JK', 'Tiradentes', 'digo', 'corrupção', 'digo', 'fraude', 'fiscal', 'digo', 'estelionato', 'eleitoral', 'digo', 'obstrução', 'Justiça', 'Cinquenta', 'milhões', 'votos', 'biombo', 'autorize', 'assalto', 'País', 'Com', 'Constituição', 'mão', 'coração', 'digo', 'impeachment']"
Margarida Salomão,"['Parlamentares', 'Parlamentares', 'ouvindo', 'atenção', 'oradores', 'precederam', 'observei', 'espanto', 'maioria', 'Deputados', 'apoiam', 'impeachmento', 'fazem', 'invocando', 'familiares', 'aniversários', 'situação', 'estradas', 'coisas', 'diversas', 'inclusive', 'nome', 'Deus', 'Não', 'aludem', 'crime', 'responsabilidade', 'causa', 'constitucional', 'impeachment', 'porque', 'crime', 'existe', 'Presidenta', 'Dilma', 'cometeu', 'crime', 'nenhum', 'Ela', 'mulher', 'decente', 'íntegra', 'honesta', 'sendo', 'vítima', 'grande', 'injustiça', 'Peço', 'senhores', 'ouçam', 'ouvi', 'ouvi', 'mencionando', 'todas', 'razões', 'quero', 'falar', 'nome', 'democracia', 'homenagem', 'todos', 'redes', 'sociais', 'ruas', 'lutando', 'democracia', 'contra', 'golpe', 'contra', 'golpe', 'contra', 'golpistas', 'contra', 'Eduardo', 'Cunha', 'contra', 'Michel', 'Temer']"
Mário Heringer,"['Presidente', 'Deputados', 'idade', 'ser', 'rebelde', 'ainda', 'idade', 'ter', 'esperança', 'neste', 'momento', 'precisamos', 'disso', 'precisamos', 'mudança', 'Por', 'vou', 'votar', 'Presidente']"
Mauro Lopes,"['Prezado', 'Presidente', 'Eduardo', 'Cunha', 'ocupei', 'cargo', 'Ministro', 'Estado', 'atual', 'Governo', 'guardarei', 'gratidão', 'comigo', 'Mas', 'honrando', 'PMDB', 'lealdade', 'condição', 'Secretário-Geral', 'PMDB', 'junto', 'honrado', 'Presidente', 'partido', 'Michel', 'Temer', 'acompanhando', 'bancada', 'Minas', 'Gerais', 'Deputados', 'Federais', 'acompanhando', 'bancada', 'PMDBda', 'Assembleia', 'Legislativa', 'Minas', 'Gerais', 'povo', 'Minas', 'Gerais', 'esperando', 'crescimento', 'transporte', 'deste', 'País', 'exatamente', 'situação', 'agonizante', 'quero', 'dizer', 'Presidente', 'fundo', 'alma', 'pensando', 'família', 'esposa', 'filhos', 'netos', 'conterrâneos', 'querida', 'Caratinga']"
Miguel Corrêa,"['Senhoras', 'senhores', 'cidadãos', 'cidadãs', 'população', 'brasileira', 'ruas', 'manifestações', 'contrárias', 'corrupção', 'especialmente', 'favor', 'democracia', 'saibam', 'sagrado', 'Estado', 'Democrático', 'Direito', 'Constituição', 'cumprir', 'regra', 'significa', 'votar', 'impeachment']"
Misael Varella,"['Presidente', 'Parlamentares', 'respeito', 'eleitores', 'mineiros', 'confiaram', 'mim', 'suceder', 'pai', 'Lael', 'Varella', 'Fundação', 'Cristiano', 'Varella', 'hospital', 'câncer', 'transparência', 'contra', 'corrupção', 'resgate', 'novas', 'esperanças', 'resgate', 'credibilidade', 'política', 'social']"
Newton Cardoso Jr,"['Presidente', 'Parlamentares', 'dirijo-me', 'toda', 'população', 'brasileira', 'neste', 'momento', 'especial', 'todas', 'famílias', 'juventude', 'mineira', 'Quero', 'dizer', 'retomada', 'crescimento', 'País', 'País', 'verdadeiramente', 'melhor', 'fiscalmente', 'responsável', 'renovação', 'esperanças', 'corações', 'todos', 'brasileiros', 'Minas', 'Gerais', 'Newton', 'Cardoso', 'Jr']"
Odelmo Leão,"['Presidente', 'desejo', 'amanhã', 'renasça', 'novo', 'dia', 'neste', 'País', 'lares', 'milhares', 'milhares', 'brasileiros', 'mineiros', 'região', 'Triângulo', 'Mineiro', 'querida', 'Uberlândia', 'Que', 'Deus', 'abençoe', 'Amanhã', 'novo', 'dia', 'esperança', 'Meu']"
Padre João,"['Pelo', 'respeito', 'popular', 'Presidenta', 'Dilma', 'cometeu', 'nenhum', 'crime', 'responsabilidade', 'movimentos', 'sociais', 'agricultura', 'familiar', 'reforma', 'agrária', 'povo', 'ruas', 'exigindo', 'respeito', 'Constituição', 'povo', 'latino-americano', 'luta', 'continua', 'companheiros']"
Patrus Ananias,"['Colegas', 'Deputadas', 'Deputados', 'sexagenária', 'caminhada', 'militante', 'político', 'social', 'cristão', 'jamais', 'vi', 'ouvi', 'tantas', 'afrontas', 'segundo', 'quarto', 'sétimo', 'mandamentos', 'lei', 'Deus', 'Quero', 'dizer', 'colegas', 'Deputadas', 'Deputados', 'reassumi', 'nesta', 'Casa', 'mandato', 'povo', 'Minas', 'Gerais', 'confiou', 'urnas', 'lutar', 'contra', 'três', 'golpes', 'forças', 'conservadoras', 'querem', 'impor', 'País', 'Estamos', 'impedir', 'golpe', 'lutar', 'contra', 'golpe', 'contra', 'Presidenta', 'Dilma', 'Estamos', 'lutar', 'contra', 'golpe', 'contra', 'democracia', 'brasileira', 'Por', 'último', 'quero', 'denunciar', 'população', 'brasileira', 'vai', 'ser', 'testemunha', 'golpe', 'contra', 'políticas', 'sociais', 'golpe', 'contra', 'Bolsa', 'Família', 'golpe', 'contra', 'Minha', 'Casa', 'Minha', 'Vida', 'golpe', 'contra', 'pobres', 'Portanto', 'Não', 'passarão', 'passarão']"
Paulo Abi-Ackel,"['Presidente', 'absolutamente', 'nenhum', 'golpe', 'curso', 'neste', 'País', 'Há', 'absoluto', 'respeito', 'Constituição', 'Federal', 'Por', 'muita', 'convicção', 'certo', 'cumprindo', 'dever', 'cívico', 'patriótico', 'impedimento', 'Presidente', 'República']"
Raquel Muniz,"['Presidente', 'homenagem', 'vítimas', 'BR-251', 'dizer', 'jeito', 'Prefeito', 'Montes', 'Claros', 'mostra', 'todos', 'gestão', 'Tiago', 'David', 'Gabriel', 'Mateus', 'neta', 'Júlia', 'mãe', 'Elza', 'Meu', 'norte', 'Minas', 'Montes', 'Claros', 'Minas', 'Gerais', 'Sim']"
Reginaldo Lopes,"['Quero', 'convidar', 'povo', 'brasileiro', 'permanecer', 'ruas', 'porque', 'Legislatura', 'lugar', 'história', 'história', 'ser', 'Legislatura', 'revanchista', 'Constituição', '1988', 'Vários', 'acham', 'Constituição', '1988', 'cabe', 'capitalismo', 'brasileiro', 'Por', 'querem', 'rasgar', 'Constituição', 'Presidente', 'Eduardo', 'Cunha', 'transforma', 'Legislatura', 'tribunal', 'exceção', 'Querem', 'caçar', 'Presidente', 'honesta', 'querem', 'caçar', 'Presidente', 'cometeu', 'nenhum', 'crime', 'Querem', 'nome', 'corrupção', 'seletiva', 'enriquecer', 'alguns', 'Presidente', 'Eduardo', 'Cunha', 'beneficiário', 'corrupção', 'Presidenta', 'Dilma', 'vítima', 'desse', 'processo', 'Não', 'golpe', 'Vamos', 'luta', 'Vamos', 'contra', 'golpistas', 'Vamos', 'luta']"
Renzo Braz,"['Presidente', 'futuro', 'crianças', 'filhos', 'Marina', 'Gilberto', 'Braz', 'Renzo', 'Braz', 'mulher', 'Minas', 'favor', 'Presidente']"
Rodrigo de Castro,"['Por', 'futuro', 'melhor', 'gente', 'precisamos', 'reconstruir', 'País', 'arrasado', 'quadrilha', 'PT', 'Precisamos', 'dar', 'novamente', 'esperança', 'famílias', 'brasileiras', 'Pelos', 'exemplos', 'ensinamentos', 'pai', 'filhos', 'família', 'memória', 'Juscelino', 'Tancredo', 'honra', 'bandeira', 'Minas', 'Gerais', 'impedimento', 'Presidente', 'República']"
Rodrigo Pacheco,"['Presidente', 'Parlamentares', 'neste', 'processo', 'jurídico', 'político', 'decisão', 'baseia', 'entendimento', 'parte', 'considerável', 'comunidade', 'jurídica', 'brasileira', 'inclusive', 'respeitadíssima', 'Ordem', 'Advogados', 'Em', 'respeito', 'glorioso', 'histórico', 'PMDB', 'Minas', 'Gerais', 'sobretudo', 'razão', 'vontade', 'vontade', 'manifesta', 'clara', 'sincera', 'povo', 'Minas', 'terra', 'Tiradentes', 'todos', 'brasileiros']"
Saraiva Felipe,"['Presidente', 'Deputados', 'decisão', 'unânime', 'PMDB', 'Minas', 'Gerais', 'levou', 'conta', 'primeiro', 'relatório', 'Deputado', 'Jovair', 'Arantes', 'Em', 'segundo', 'lugar', 'pesou', 'descalabro', 'econômico', 'vivendo', 'Nós', 'recuo', 'políticas', 'sociais', 'saúde', 'frangalhos', 'educação', 'cada', 'vez', 'dificuldades', 'recursos', 'FIES', 'sendo', 'reduzidos', 'Então', 'pergunta', 'perpassou', 'decisão', 'unânime', 'dá', 'conta', 'esperar', '2018', 'Portanto', 'unânime', 'PMDB', 'Minas', 'Gerais']"
Stefano Aguiar,"['Liliene', 'amor', 'Lorenzo', 'filho', 'futuras', 'gerações', 'crianças', 'Quero', 'homenagear', 'milhões', 'guerreiros', 'guerreiras', 'família', 'nação', 'quadrangular', '65', 'anos', 'contribui', 'ora', 'melhor', 'Existe', 'provérbio', 'diz', 'Minas', 'Gerais', 'terra', 'ouro', 'diamante', 'mineiro', 'silêncio', 'segue', 'passo', 'gigante', 'Mas', 'mineiro', 'vai', 'ficar', 'silêncio', 'Não', 'golpe', 'Impeachment', 'Meu']"
Subtenente Gonzaga,"['Presidente', 'policial', 'militar', 'Minas', 'Gerais', 'categoria', 'trabalhadores', 'vive', 'morre', 'todos', 'dias', 'neste', '60', 'mil', 'vítimas', 'anualmente', 'consequência', 'impunidade', 'Para', 'mim', 'impunidade', 'mãe', 'origem', 'DNA', 'corrupção', 'Por', 'acreditar', 'poder', 'contribuir', 'combate', 'corrupção', 'combate', 'impunidade', 'todos', 'níveis', 'governo', 'inclusive', 'nesta', 'Casa', 'direita', 'esquerda']"
Tenente Lúcio,"['Por', 'Minas', 'Exército', 'Brasileiro', 'quero', 'Presidente', 'nome', 'grupão', 'amigos', 'Uberlândia', 'região', 'Alexandre', 'Andrade', 'nome', 'memória', 'Eduardo', 'Campos', 'trouxe', 'PSB', 'Valentina', 'dizer']"
Toninho Pinheiro,"['Com', 'muita', 'humildade', 'respeito', 'amada', 'Ibirité', 'toda', 'Minas', 'Gerais', 'pedimos', 'punição', 'exemplar', 'contra', 'políticos', 'juntaram', 'alguns', 'empreiteiros', 'milionários', 'roubando', '20', 'anos', 'diversos', 'partidos', 'Governos', 'conforme', 'confirma', 'Lava', 'Jato', 'quero', 'pedir', 'Deus', 'sabedoria', 'Não', 'queremos', 'enganar', 'população', 'precisamos', 'encontrar', 'caminho', 'ninguém', 'nunca', 'roube', 'nunca', 'falte', 'recurso', 'saúde', 'impeachment']"
Weliton Prado,"['Repudio', 'contra', 'negociação', 'cargos', 'feita', 'vista', 'Governo', 'repudio', 'contra', 'negociação', 'cargos', 'feita', 'prazo', 'Temer', 'Se', 'crime', 'responsabilidade', 'Dilma', 'crime', 'responsabilidade', 'Temer', 'Cartão', 'vermelho', 'Dilma', 'Cartão', 'vermelho', 'Temer', 'Cartão', 'vermelho', 'Cunha', 'Para', 'pacificar', 'País', 'Constituinte', 'exclusiva', 'Para', 'pacificar', 'País', 'novas', 'eleições', 'reforma', 'política', 'Meu']"
Zé Silva,"['Pela', 'agricultura', 'familiar', 'extensão', 'rural', 'brasileira', 'família', 'Minas', 'Gerais', 'outro', 'nome', 'Minas', 'liberdade']"
Afonso Florence,"['Considerando', 'processo', 'impeachment', 'maculado', 'origem', 'porque', 'acatado', 'processo', 'esforço', 'Deputado', 'Eduardo', 'Cunha', 'impedir', 'admissibilidade', 'investigação', 'Conselho', 'Ética', 'PT', 'negou', 'votar', 'considerando', 'crime', 'responsabilidade', 'considerando', 'pauta', 'traz', 'derrota', 'agenda', 'conservadora', 'agora', 'vitoriosa', 'luta', 'reforma', 'agrária', 'rua', 'Bolsa', 'Família', 'Minha', 'Casa', 'Minha', 'Vida', 'contas', 'universidades', 'povo', 'negro', 'luta', 'direitos', 'mulheres', 'rua', 'movimento', 'estudantil', 'juventude', 'lutando', 'legalidade']"
Alice Portugal,"['prova', 'crime', 'Se', 'hácrime', 'responsabilidade', 'justificativa', 'impeachment', 'golpe', 'tribunal', 'exceção', 'montado', 'inquisitor', 'frente', 'Eduardo', 'Cunha', 'Na', 'Bahia', 'diz', 'tiranos', 'combinam', 'brasileiros', 'corações', 'engolirá', 'tirania', 'cretinismo', 'parlamentar', 'golpe', 'Não', 'golpe']"
Antonio Brito,['Presidente']
Antonio Imbassahy,"['Presidente', 'pedindo', 'Deus', 'ilumine', 'vim', 'Bahia', 'dizer']"
Arthur Oliveira Maia,"['Presidente', 'maioria', 'povo', 'brasileiro', 'Presidente', 'esperança', 'construirmos', 'País', 'caiba', 'grandeza', 'felicidade', 'futuro', 'todos', 'brasileiros', 'Pela', 'Bahia', 'Meu']"
Bacelar,"['Em', 'respeito', 'Constituição', 'democracia', 'povo']"
Bebeto,"['Presidente', 'momentos', 'dificuldades', 'podemos', 'afirmar', 'caráter', 'trajetória', 'trajetória', 'reclama', 'ter', 'posição', 'nesta', 'sessão', 'distinta', 'facilidade', 'muitos', 'têm', 'tido', 'encaminhar', 'trajetória', 'reclama', 'respeito', 'classe', 'trabalhadora', 'respeito', 'democracia', 'respeito', 'valorização', 'social', 'trabalho', 'nessa', 'circunstância', 'respeitando', 'democracia', 'respeitando', 'classe', 'trabalhadora', 'quero', 'encaminhar', 'neste', 'processo']"
Benito Gama,"['Presidente', 'representante', 'povo', 'Bahia']"
Cacá Leão,"['Todos', 'amigos', 'Bahia', 'conhecem', 'posição', 'Estado', 'Jamais', 'poderia', 'faltar', 'coerência', 'posição', 'neste', 'momento', 'Não', 'posso', 'permitir', 'traição', 'marque', 'vida', 'família', 'posso', 'desrespeitar', 'orientação', 'partido', 'fechou', 'questão', 'favor', 'impeachment', 'Então', 'abstenho', 'desta', 'votação']"
